"id","question","sparql"
"10","Which companies were founded by the founder of Facebook?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> Select ?ocompany WHERE { ?company rdfs:label ""Facebook""@en . ?company schema:creator ?creator .  ?ocompany schema:founder ?creator}  "
"11","Which movies did Kurosawa direct?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?movie WHERE {?person rdfs:label ""Akira Kurosawa""@en . ?movie schema:director ?person}  "
"12","Who was Tom Hanks married to?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?spouse WHERE { ?person rdfs:label ""Tom Hanks""@en . ?person schema:spouse ?spouse} "
"13","Who was married to Amanda Palmer?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?spouse WHERE { ?person rdfs:label ""Amanda Palmer""@en . ?person schema:spouse ?spouse} "
"14","What is the profession of Lance Bass?","PREFIX schema: <http://schema.org/> SELECT ?o WHERE {<http://yago-knowledge.org/resource/Lance_Bass> schema:hasOccupation ?o}"
"15","Who wrote Harry Potter?","PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?author WHERE {?book rdfs:label ""Harry Potter""@en .?book schema:author ?author} "
"16","Give me the homepage of Acer.","PREFIX schema: <http://schema.org/>  SELECT distinct ?website WHERE { <http://yago-knowledge.org/resource/Acer_Inc.> schema:url ?website}"
"17","When did Michael Jackson die?"," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?dod WHERE { ?person rdfs:label ""Michael Jackson""@en . ?person schema:hasOccupation yago:Singer-songwriter. ?person schema:deathDate ?dod}"
"18","When did princess Diana die?"," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>SELECT ?dod WHERE {  ?person schema:alternateName ""Princess Diana""@en . ?person schema:deathDate ?dod}"
"19","Give me the official websites of actors of the television show Charmed."," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?websites WHERE {?show rdfs:label ""Charmed""@en .    ?show schema:actor ?actors . ?actors schema:url ?websites}"
"20","When did Dracula's creator die?"," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?date WHERE { ?book rdfs:label ""Dracula""@en . ?book schema:author yago:Bram_Stoker . yago:Bram_Stoker schema:deathDate ?date.} "
"21","Who were the parents of Queen Elizabeth II?"," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>SELECT ?parent WHERE { ?person schema:alternateName ""Queen Elizabeth II""@en . ?person schema:parent ?parent .}"
"22","Who is the daughter of Bill Clinton married to?"," PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?spouse WHERE { ?person rdfs:label ""Bill Clinton""@en .?person schema:children ?child . ?child schema:spouse ?spouse} "
"23","What are the names of the Teenage Mutant Ninja Turtles?"," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?chars WHERE {?show rdfs:label ""Teenage Mutant Ninja Turtles""@en . ?chars schema:isPartOf ?show} "
"24","Who is the daughter of Bill Clinton married to?"," PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?spouse WHERE { ?person rdfs:label ""Bill Clinton""@en .?person schema:children ?child . ?child schema:spouse ?spouse} "
"25","Who was the wife of President Lincoln??"," PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?spouse WHERE { ?person rdfs:label ""Abraham Lincoln""@en .  ?person schema:spouse ?spouse} "
"26","When was Jack Wolfskin founded?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT xsd:date(?date) WHERE { ?company rdfs:label ""Jack Wolfskin""@en . ?company schema:foundingDate ?date} "
"27","Who was called Rodzilla?","PREFIX rs: <http://rightsstatements.org/vocab/> PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?person WHERE { ?person schema:alternateName ""Rodzilla""@en} "
"28","When did Paraguay proclaim its independence?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT xsd:date(?date) WHERE {   ?country rdfs:label ""Paraguay""@en .   ?country schema:foundingDate ?date} "
"29","Who is the founder of Wikileaks?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?founder WHERE {   ?wl rdfs:label ""WikiLeaks""@en .   ?wl schema:founder ?founder} "
"30","Where is Fort Knox located?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?loc WHERE {   ?fk rdfs:label ""Fort Knox""@en . ?fk rdf:type yago:Military_base.   ?fk schema:containedInPlace ?loc} "
"31","Who painted The Storm on the Sea of Galilee?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?creator WHERE {?painting rdfs:label ""The Storm on the Sea of Galilee""@en. ?painting schema:creator ?creator.} "
"32","Who are the parents of the wife of Juan Carlos I?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?parent WHERE {?person rdfs:label ""Juan Carlos I""@en.  ?person schema:spouse ?spouse .?spouse schema:parent ?parent} "
"33","Who are the parents of the wife of Juan Carlos I?","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?parent WHERE {?person rdfs:label ""Juan Carlos I""@en.  ?person schema:spouse ?spouse .?spouse schema:parent ?parent} "
"34","Which actors play in Big Bang Theory?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?actor WHERE {?show rdfs:label ""The Big Bang Theory""@en . ?show schema:actor ?actor} "
"35","Which books were written by Danielle Steel?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?author rdfs:label ""Danielle Steel""@en . ?uri schema:author ?author} "
"36","Give me all chemical elements.","PREFIX yago: <http://yago-knowledge.org/resource/>  PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?uri rdf:type  yago:Chemical_element. }"
"37","Name the place where Aleksey Pisemsky died.","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?a WHERE { ?u rdfs:label ""Aleksey Pisemsky""@en . ?u <http://schema.org/deathPlace> ?a}"
"38","When is the birth anniversary of Aaron North?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?d WHERE { ?u rdfs:label ""Aaron North""@en. ?u schema:birthDate ?d}"
"39","Give the genre of About Time.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?g WHERE { ?m rdfs:label ""About Time""@en;schema:genre ?g}"
"40","In which country was Leon Schwartzmann born?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?d WHERE { ?u rdfs:label ""Leon Schwartzmann""@en. ?u schema:birthPlace ?d}"
"41","What is the job of Chris Pozniak?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?o WHERE { ?u rdfs:label ""Chris Pozniak""@en. ?u schema:hasOccupation ?o}"
"42","Where was Naoya Nomura born?","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?n WHERE { ?u rdfs:label ""Naoya Nomura""@en. ?u schema:birthPlace ?n}"
"43","What is the home of Mike Hudema located?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?n WHERE { ?u rdfs:label ""Mike Hudema""@en. ?u schema:homeLocation ?n}"
"44","Who is the father of Aaron Teitelbaum?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?father WHERE { ?person rdfs:label ""Aaron Teitelbaum""@en. ?person schema:parent ?father}"
"45","Which language does Abraham Gorlaeus speak?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?language WHERE { ?person rdfs:label ""Abraham Gorlaeus""@en; schema:knowsLanguage ?language}"
"46","Give the cast of Spider-Man 3.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?a WHERE { ?s rdfs:label ""Spider-Man 3""@en;schema:actor ?a}"
"47","Who was Erich Maria married to?","PREFIX yago: <http://yago-knowledge.org/resource/> PREFIX schema: <http://schema.org/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?spouse WHERE { ?person rdfs:label ""Erich Maria Remarque""@en .  ?person schema:spouse ?spouse}"
"48","Name all the kids of Benedek Eszterhas?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?c WHERE { ?m rdfs:label ""Benedek Eszterhas""@en; schema:children ?c}"
"49","When did Delta Utah proclaim its freedom?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT xsd:date(?date) WHERE {?country rdfs:label ""Delta""@en. ?country schema:foundingDate ?date}"
"50","Where is Eagle Mountain situated?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?p WHERE {?e rdfs:label ""Eagle Mountain""@en ; schema:containedInPlace ?p}"
"51","What are geo coordinates of Acuy Island?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?date WHERE {?country rdfs:label ""Acuy Island""@en. ?country schema:geo ?date}"
"52","How does the logo of Federal Ministry of Agriculture, Regions and Tourism look like?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?l WHERE { ?t rdfs:label ""Federal Ministry of Agriculture, Regions and Tourism""@en; schema:logo ?l}"
"53","What all companies are sponsors of British Council?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?g WHERE { ?t rdfs:label ""British Council""@en ; schema:sponsor ?g}"
"54","What banks are members of Mastercard?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?m WHERE { ?t rdfs:label ""Mastercard""@en ; schema:memberOf ?m}"
"55","Who is the founder of Bank of America?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?m WHERE { ?t rdfs:label ""Bank of America""@en ; <http://schema.org/founder> ?m}"
"56","Return the location where Tim hortons was found?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?l WHERE { ?t rdfs:label ""Tim Hortons""@en ; schema:foundingLocation ?l}"
"57","In which city can we find Davichi?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?d WHERE {?country rdfs:label ""Davichi""@en. ?country schema:foundingLocation ?d}"
"58","Where is Acer Inc founded?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?d WHERE {?c rdfs:label ""Acer Inc.""@en. ?c schema:foundingLocation ?d}"
"59","When was Davichi found?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT xsd:date(?date) WHERE {?country rdfs:label ""Davichi""@en. ?country schema:foundingDate ?date}"
"60","What are the directions to Baypark Stadium?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?p WHERE {?t rdfs:label ""Baypark Stadium""@en; schema:containedInPlace ?p}"
"61","Return the Allianz Parque's geo coordinates.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?geo WHERE {?c rdfs:label ""Allianz Parque""@en; schema:geo ?geo}"
"62","Show the logo of Airlines of Tasmania.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?logo WHERE { ?t rdfs:label ""Airlines of Tasmania""@en; schema:logo ?logo}"
"63","Who are sponsors of Public Facilities Privacy & Security Act?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE { ?t rdfs:label ""Public Facilities Privacy & Security Act""@en; schema:sponsor ?s}"
"64","Who are the associates of Adelaide Club?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?t WHERE {  ?m rdfs:label ""Adelaide Club""@en . ?t schema:memberOf ?m}"
"65","List the creators of Academy of Sciences of the Institute of Bologna.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?t WHERE {?m rdfs:label ""Academy of Sciences of the Institute of Bologna""@en . ?t schema:memberOf ?m}"
"66","How does a Samsung corby look like?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?i WHERE {?l rdfs:label ""Samsung Corby""@en; schema:image ?i}"
"67","Where was KC and the Sunshine Band originated?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?l WHERE {?c rdfs:label ""KC and the Sunshine Band""@en. ?c schema:foundingLocation ?l}"
"68","Bullet for My Valentine belongs to which city?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?d WHERE {?c rdfs:label ""Bullet for My Valentine""@en. ?c schema:foundingLocation ?d}"
"69","When was Battersea Dogs and Cats Home started?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT xsd:date(?date) WHERE {?country rdfs:label ""Battersea Dogs and Cats Home""@en. ?country schema:foundingDate ?date}"
"70","Where is 26 St James's Place located?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?j WHERE {?t rdfs:label ""26 St James's Place""@en;schema:containedInPlace ?j}"
"71","What is the geographical position of Alanta?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?g WHERE {?c rdfs:label ""Alanta""@en; schema:geo ?g}"
"72","What does the logo of American Red Cross look like?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?logo WHERE { ?t rdfs:label ""American Red Cross""@en; schema:logo ?logo}"
"73","Name the sponsors of Sintel.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE { ?t rdfs:label ""Sintel""@en; schema:sponsor ?s}"
"74","List the companies associated with FIDO Alliance.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?m WHERE { ?m schema:memberOf ?a . ?a rdfs:label ""FIDO Alliance""@en}"
"75","Where was Hillaire Kedigui born?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?g WHERE {?l rdfs:label ""Hilaire Kédigui""@en ; schema:birthPlace ?g}"
"76","Show the picture of Nokia Lumia.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?i WHERE {?l rdfs:label ""Lumia series""@en; schema:image ?i}"
"77","The entertainment firm of Alphabet Soup Children emanated from which city?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?l WHERE {?c rdfs:label ""Alphabet Soup Children's Entertainment""@en. ?c schema:foundingLocation ?l}"
"78","Which country is Justin Bieber a citizen of?","PREFIX schema: <http://schema.org/> SELECT distinct ?g WHERE {<http://yago-knowledge.org/resource/Justin_Bieber> schema:nationality ?g}"
"79","When was Carlo Giuliani shot?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct xsd:date(?date) WHERE {?c rdfs:label ""Carlo Giuliani""@en; schema:deathDate ?date}"
"80","Where is the Fifth Avenue Plaza of Bank of America located?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?p WHERE {?t rdfs:label ""Bank of America Fifth Avenue Plaza""@en ; schema:containedInPlace ?p}"
"81","What are the geo coordinates of Allied Arts Building?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?geo WHERE {?c rdfs:label ""Allied Arts Building""@en; schema:geo ?geo}"
"82","What is the logo of starbucks?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?logo WHERE { ?t rdfs:label ""Starbucks""@en; schema:logo ?logo}"
"83","Forma Urbis Romae is sponsored by whom?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE { ?t rdfs:label ""Forma Urbis Romae""@en; schema:sponsor ?s}"
"84","Name the father organization of Manchester city.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?b WHERE {?m rdfs:label ""Manchester City F.C.""@en; schema:parentOrganization ?b}"
"85","Who produced the video game of Slayers?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?r WHERE {?m rdfs:label ""Slayers""@en; schema:producer ?r}"
"86","Give the url for more information on 2010 Wimbledon Championships.","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?u WHERE {?l rdfs:label ""2010 Wimbledon Championships""@en; schema:url ?u}"
"87","Where was Atlas Genius founded?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?f WHERE {?c rdfs:label ""Atlas Genius""@en. ?c schema:foundingLocation ?f}"
"88","Queens belongs to which country?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?n WHERE {?m rdfs:label ""Queens""@en; schema:countryOfOrigin ?n}"
"89","When was Western University founded?","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT xsd:date(?date) WHERE {?country rdfs:label ""Western University""@en. ?country schema:foundingDate ?date}"
"90","In which US state is Baltimore located?","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?l WHERE {?r rdfs:label ""Baltimore""@en; schema:location ?l}"
"91","Give the geographical position of Alaska?","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?g WHERE {<http://yago-knowledge.org/resource/Alaska> schema:geo ?g}"
"92","What does the logo of Reebok look like?","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?l WHERE {?a rdfs:label ""Reebok""@en; schema:logo ?l}"
"93","Name the members of Microsoft.","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE { ?t rdfs:label ""Microsoft""@en; schema:memberOf ?s}"
"94","Where did the 2018 UEFA Champions League Final take place?","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE { ?t rdfs:label ""2018 UEFA Champions League Final""@en; schema:location ?s}"
"95","Show the image of the car Puma","PREFIX schema:<http://schema.org/> PREFIX rdfs:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?p WHERE { ?l rdfs:label ""Puma""@en ; schema:image ?p}"
"96","When was Ace in the Hole released?","PREFIX schema: <http://schema.org/> SELECT distinct ?n WHERE {<http://yago-knowledge.org/resource/Ace_in_the_Hole_(George_Strait_song)> schema:datePublished ?n}"
"97","Where is Bell railway station situated?","PREFIX schema: <http://schema.org/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?m WHERE {?l rdfs:label ""Bell Busk railway station""@en; schema:containedInPlace ?m}"
