"id","question","sparql"
"16","Name the creators of Text Semantic Representation?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where {?s xsd:title ""Text Semantic Representation.""; xsd:authoredBy ?a }"
"17","Ordinal-Measure Based Shape Correspondence was published in which journal volume?","PREFIX xsd: <https://dblp.org/rdf/schema#> SELECT distinct ?uri WHERE { ?p xsd:title ""Ordinal-Measure Based Shape Correspondence.""; xsd:publishedInJournalVolume ?uri }"
"18","How many researchers worked on DBPal: Weak Supervision for Learning a Natural Language Interface to Databases?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?n where { ?p  xsd:title ""DBPal: Weak Supervision for Learning a Natural Language Interface to Databases.""; xsd:numberOfCreators ?n}"
"19","How many authors worked on Modeling and Simulation of Data Center Networks?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?n WHERE {?p xsd:title ""Modeling and Simulation of Data Center Networks.""; xsd:numberOfCreators ?n}"
"20","How many creators created Analysis of Distance Functions in Graphs?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?s where { ?p xsd:title ""Analysis of Distance Functions in Graphs."".?p <https://dblp.org/rdf/schema#numberOfCreators> ?s}"
"21","Name the work written by Ralf Kramer.","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?p where {?h <http://www.w3.org/2000/01/rdf-schema#label>""Ralf Kramer"" . ?p xsd:authoredBy ?h}"
"22","What is the name of the university that published Stochastic thermodynamics of learning?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?u where { ?p xsd:title ""Stochastic thermodynamics of learning."" ;xsd:thesisAcceptedBySchool ?u}"
"23","How many people published Torrent worms?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?n where { ?p xsd:title ""Torrent worms."".?p <https://dblp.org/rdf/schema#numberOfCreators> ?n}"
"24","A New Paradigm for Secure Social Lending is published in which book?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where { ?t xsd:title ""A New Paradigm for Secure Social Lending."" . ?t xsd:publishedInBook ?a}"
"25","What is the full creator name of Ralf?","PREFIX xsd: <https://dblp.org/rdf/schema#> SELECT distinct ?uri WHERE {<https://dblp.org/pid/74/6385> xsd:primaryFullCreatorName ?uri }"
"26","Which awards has Herbert A. Simon received?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#>  select distinct ?a where { <https://dblp.org/pid/16/6065> xsd:awardWebpage ?a.}"
"27","Give people affiliated with Stanford University, USA.","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?p where {?p <https://dblp.org/rdf/schema#primaryAffiliation> ""Stanford University, CA, USA"" }"
"28","Name some people associated with National University of Singapore?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where {  ?a xsd:primaryAffiliation ""National University of Singapore""}"
"29","Give researchers who worked on Creating the electronic new Oxford english dictionary?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where {?t xsd:title ""Creating the electronic new Oxford english dictionary.""; xsd:authoredBy ?a}"
"30","What are the publications of Gianni Amati?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?p where {?p xsd:authoredBy ?h . ?h <http://www.w3.org/2000/01/rdf-schema#label> ""Gianni Amati""} "
"31","Which university is Ursula Hinkel affiliated with?","PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> select distinct ?t where {<https://dblp.org/pid/h/UrsulaHinkel> <https://dblp.org/rdf/schema#primaryAffiliation> ?t}"
"32","What was the year of publication of Advanced Visual Interfaces Supporting Distributed Cloud-Based Big Data Analysis?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?y where {?t xsd:title ""Advanced Visual Interfaces Supporting Distributed Cloud-Based Big Data Analysis.""; xsd:yearOfPublication ?y}"
"33","Give webpage of Markus Endler.","PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?s where {?p xd:label ""Markus Endler""; xsd:webpage ?s}"
"34","What was authored by Francisco Castells?","PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?t WHERE { ?t xsd:authoredBy <https://dblp.org/pid/93/6962>}"
"35","Simple Network Time Protocol was published in which month?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""Simple Network Time Protocol (SNTP).""; xsd:monthOfPublication ?m}"
"36","What school accepted Andreas work on topic driven testing?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?p xd:label ""Andreas Rau: Topic driven testing. (2020)""; xsd:thesisAcceptedBySchool ?s}"
"37","What is Principal Component Analysis in ECG Signal Processing?","SELECT distinct ?u WHERE { ?v <https://dblp.org/rdf/schema#title> ""Principal Component Analysis in ECG Signal Processing."" ; <https://dblp.org/rdf/schema#wikidata> ?u}"
"38","What is the primary affiliation of David W. Embley?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where { <https://dblp.org/pid/e/DWEmbley> xsd:primaryAffiliation ?a}   "
"39","How many researchers created Handbook of Semantic Web Technologies?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?n WHERE {?p xsd:title ""Handbook of Semantic Web Technologies""; xsd:numberOfCreators ?n}"
"40","What is the homepage of Pierre Wolper?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where { <https://dblp.org/pid/w/PierreWolper> xsd:primaryHomepage ?a}"
"41","Return the journal volume that published Machine Learning Methods in the Computational Biology of Cancer.","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?v WHERE {?g xsd:title ""Machine Learning Methods in the Computational Biology of Cancer.""; xsd:publishedInJournalVolume ?v} "
"42","On the Accuracy of Fiber Tractography was accepted as a thesis in which school?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?g xsd:title ""On the Accuracy of Fiber Tractography.""; xsd:thesisAcceptedBySchool ?s} "
"43","What is the school that published the phd work Entity-Centric Text Mining for Historical Documents.","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?g xsd:title ""Entity-Centric Text Mining for Historical Documents.""; xsd:thesisAcceptedBySchool ?s}"
"44","Name the school that published Error-free source and channel coding with lists.","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?g xsd:title ""Error-free source and channel coding with lists.""; xsd:thesisAcceptedBySchool ?s}"
"45","What has Ronald Fagin edited?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?a where { ?a xsd:editedBy <https://dblp.org/pid/f/RonaldFagin>}"
"46","List the awards given to Chuchu Fan?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> select distinct ?a where { <https://dblp.org/pid/127/1756>  xsd:awardWebpage ?a}"
"47","Give the website of Pablo Laguna?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?uri WHERE { ?n <http://www.w3.org/2000/01/rdf-schema#label> ""Pablo Laguna"" ; xsd:webpage ?uri}"
"48","Give the CoRR volume that accepted Robophysical modeling of spacetime dynamics?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE { ?t xsd:title ""Robophysical modeling of spacetime dynamics.""; xsd:publishedInJournalVolume ?v }"
"49","Name researchers of the Dynamic Work Distribution.","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?r WHERE {?p xsd:title ""Dynamic Work Distribution in Workflow Management Systems: How to Balance Quality and Performance.""; xsd:authoredBy ?r}"
"50","Give the electronic version of Fuzzy Ordering Theory?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE { ?p xsd:title ""Fuzzy Ordering Theory and Its Use in Filter Generalization.""; xsd:primaryElectronicEdition ?v .}"
"51","What awards was Richard M. Karp recognized with?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> select distinct ?a where { <https://dblp.org/pid/k/RichardMKarp>  xsd:awardWebpage ?a}"
"52","Return all papers of Andreas Brunnert?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?p WHERE {?s xd:label ""Andreas Brunnert"". ?p xsd:authoredBy ?s}"
"53","Name the main contributor of UNIX Implementation of HEMS.","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE { ?p xsd:title ""A UNIX Implementation of HEMS."" ; xsd:authoredBy ?v }"
"54","What is the month of publication of Message Send Protocol?","PREFIX xsd:<https://dblp.org/rdf/schema#>  SELECT distinct ?m WHERE { ?n xsd:title ""Message Send Protocol.""; xsd:monthOfPublication ?m }"
"55","What was IEEE 802 organization listed on?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?uri WHERE { ?x xsd:title ""The IEEE 802 organization.""; <https://dblp.org/rdf/schema#listedOnTocPage> ?uri}"
"56","Name the Simple Network Time Protocol creator.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?a where {?t xsd:title ""Simple Network Time Protocol (SNTP)."" ; xsd:authoredBy ?a}"
"57","Return the journal volume of Discriminator of gans?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE {?t xsd:title ""Discriminator Feature-Based Inference by Recycling the Discriminator of GANs."" ; xsd:publishedInJournalVolume ?v}"
"58","Show the webpage of David L. Mills","PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?s where {?p xd:label ""David L. Mills""; xsd:webpage ?s}"
"59","State the book that published the Green extension of OpenFlow","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?u WHERE { <https://dblp.org/rec/conf/teletraffic/BruschiLMRBDL14>  xsd:publishedInBook ?u}"
"60","Rolf Hennicker is associated with which university?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {<https://dblp.org/pid/h/RolfHennicker> xsd:primaryAffiliation ?o}"
"61","Return all publications of Nikos Alexandris.","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy <https://dblp.org/pid/a/NikosAlexandris>}"
"62","Give all contributions of Andreas Butz","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy <https://dblp.org/pid/b/AndreasButz>}"
"63","What work did Christophe Bobda publish?","PREFIX xsd: <https://dblp.org/rdf/schema#> select distinct ?d where {?d xsd:authoredBy ?a . ?a <http://www.w3.org/2000/01/rdf-schema#label> ""Christophe Bobda""}"
"64","Name the published works of Walter Dosch?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy <https://dblp.org/pid/d/WalterDosch>}"
"65","Name the primary affiliation of Christian Becker?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {<https://dblp.org/pid/b/ChristianBecker> xsd:primaryAffiliation ?o}"
"66","Return the month of publication for Incremental Zone Transfer in DNS.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""Incremental Zone Transfer in DNS.""; xsd:monthOfPublication ?m}"
"67","A Dynamic Routing Method for Inbound E-mail Delivery Considering Route and MTA Conditions on Multihomed Environment was out in which proceedings?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?s where {?t xsd:title ""A Dynamic Routing Method for Inbound E-mail Delivery Considering Route and MTA Conditions on Multihomed Environment."" ; xsd:publishedAsPartOf ?s}"
"68","Give the month of publication of DHCP Options for Novell Directory Services.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""DHCP Options for Novell Directory Services."" ; xsd:monthOfPublication ?m}"
"69","Return all contributions of Klaus Engel.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy <https://dblp.org/pid/e/KlausEngel>}"
"70","What work in research did Ulrich Furbach publish?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy <https://dblp.org/pid/f/UlrichFurbach>}"
"71","What school is Gernot Heiser affiliated to?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {<https://dblp.org/pid/h/GernotHeiser> xsd:primaryAffiliation ?o}"
"72","What all works have Rolf Hennicker as thier author?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?o where {?o xsd:authoredBy <https://dblp.org/pid/h/RolfHennicker>}"
"73","What is the journal volume of An Active Model for Facial Feature Tracking?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE { ?p xsd:title ""An Active Model for Facial Feature Tracking."" ;xsd:publishedInJournalVolume ?v}"
"74","Name the book that published Modified Active Model for Facial Feature Tracking","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?b WHERE { ?p xsd:title ""Modified Active Shape Model for Realtime Facial Feature Tracking on iPhone."" . ?p xsd:publishedInBook ?b}"
"75","How many people created the Performance Evaluation Of Data Aggregation Schemes?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?n WHERE {?p xsd:title ""Performance evaluation of data aggregation schemes in wireless sensor networks.""; xsd:numberOfCreators ?n}"
"76","Predicting Heating Sliver in Duplex Stainless Steels was printed in which book?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?b WHERE {?t xsd:title ""Predicting Heating Sliver in Duplex Stainless Steels Manufacturing through Rashomon Sets.""; xsd:publishedInBook ?b}"
"77","Name the researcher that published Distributed Symbolic Representation of Visual Shape?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?p WHERE {?t xsd:title ""Distributed Symbolic Representation of Visual Shape.""; xsd:authoredBy ?p}"
"78","Return the year when Scalable Distributed Systems was published?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?y WHERE {?t xsd:title ""Scalable Distributed Systems.""; xsd:yearOfPublication ?y}"
"79","What was the volume of journal that published Time-Varying Linear Singular Systems?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE {?t xsd:title ""On linear quadratic optimal control of linear time-varying singular systems."";  xsd:publishedInJournalVolume ?v}"
"80","Active perception to deep learning was published in which journal volume?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE {?t xsd:title ""From active perception to deep learning."";  xsd:publishedInJournalVolume ?v}"
"81","Give the authors of Dual Discriminator Generative Adversarial Networks for Video Anomaly Detection?","PREFIX xsd:<https://dblp.org/rdf/schema#> SELECT distinct ?v WHERE {?t xsd:title ""Convolutional Transformer based Dual Discriminator Generative Adversarial Networks for Video Anomaly Detection."" ;xsd:authoredBy ?v}"
"82","What other names has K. Mani Chandy published under?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#>  select distinct ?a where { <https://dblp.org/pid/c/KManiChandy>  xsd:otherFullCreatorName ?a}"
"83","Which webpage contain information about Thomas Kailath?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#>  select distinct ?a where { <https://dblp.org/pid/k/ThomasKailath> xsd:webpage ?a}"
"84","What was the year when ACM Turing Award nominations was out?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#>  select distinct ?y where {?p xsd:title ""ACM A.M. Turing Award nominations solicited."" ; xsd:yearOfPublication ?y}"
"85","What awards were given to Richard M. Karp?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> select distinct ?a where { <https://dblp.org/pid/k/RichardMKarp>  xsd:awardWebpage ?a}"
"86","Name all awards granted to Sanjeev Arora?","PREFIX xsd: <https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> select distinct ?a where { <https://dblp.org/pid/a/SArora>  xsd:awardWebpage ?a}"
"87","Name the school that published Software-defined middlebox networking.","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?p xd:label ""Ahmed Abujoda: Software-defined middlebox networking. (2016)"" ; xsd:thesisAcceptedBySchool ?s}"
"88","Name the university that published Visual Learning of Socio-Video Semantics and accepted Visual support for safety analysis?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT ?s WHERE {?p xd:label ""Damian Borth: Visual Learning of Socio-Video Semantics. (2015)"" ; xsd:thesisAcceptedBySchool ?s . ?r xd:label ""Yi Yang: Visual support for safety analysis. (2012)"" . ?r xsd:thesisAcceptedBySchool ?s}"
"89","Name the institute that accepted Computational Approach to Binding Theory as a thesis?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?d xsd:title ""An Integrated Computational Approach to Binding Theory."" ; xsd:thesisAcceptedBySchool ?s}"
"90","What is the orcid number of Michael I. Jordan?","PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> select distinct ?t where { <https://dblp.org/pid/j/MichaelIJordan> <https://dblp.org/rdf/schema#orcid> ?t}"
"91","Give the research place where optimal control theory was created?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?p xsd:title ""Exact methods in optimal control theory."" ; xsd:thesisAcceptedBySchool ?s}"
"92","Name the institute that first accepted the Mixed-Signal Circuit Implementation of Spiking Neuron Models.","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {?p xsd:title ""Mixed-Signal Circuit Implementation of Spiking Neuron Models."" ; xsd:thesisAcceptedBySchool ?s}"
"93","Crowds, not Drones: Modeling Human Factors in Interactive Crowdsourcing was published in which book?","PREFIX xsd:<https://dblp.org/rdf/schema#> PREFIX xd:<http://www.w3.org/2000/01/rdf-schema#> SELECT distinct ?s WHERE {<https://dblp.org/rec/conf/dbcrowd/RoyLTAD13> xsd:publishedInBook ?s}"
"94","What is the publication month of Transmitting IP traffic over ARCNET networks.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""Transmitting IP traffic over ARCNET networks."" ; xsd:monthOfPublication ?m}"
"95","Tunneling IPX traffic through IP networks was out in which month?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""Tunneling IPX traffic through IP networks."" ; xsd:monthOfPublication ?m}"
"96","The Transmission of IP Datagrams was published in which month?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""A Standard for the Transmission of IP Datagrams over Ethernet Networks."" ; xsd:monthOfPublication ?m}"
"97","Return the month when OSI internet management: Management Information Base was out.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""OSI internet management: Management Information Base."" ; xsd:monthOfPublication ?m}"
"98","On the assignment of subnet numbers was out in which month?","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""On the assignment of subnet numbers."" ; xsd:monthOfPublication ?m}"
"99","Return the month of publication of Advancing the NSFNET routing architecture.","PREFIX xsd:<https://dblp.org/rdf/schema#> select distinct ?m where {?t xsd:title ""Advancing the NSFNET routing architecture."" ; xsd:monthOfPublication ?m}"
