"id","question","sparql"
"63","How many competitors participated in the 2018 Tour of Norway?","SELECT (COUNT(?competitor) AS ?count) WHERE { <http://yago-knowledge.org/resource/2018_Tour_of_Norway> <http://schema.org/competitor> ?competitor . }"
"64","Was the 2018 Tour of Norway a super event?","ASK { <http://yago-knowledge.org/resource/2018_Tour_of_Norway> <http://schema.org/superEvent> ?superEvent. }"
"65","When did the 2018 Tour of Norway start?","SELECT ?startDate WHERE { <http://yago-knowledge.org/resource/2018_Tour_of_Norway> <http://schema.org/startDate> ?startDate . }"
"66","What was the end date of the 2018 Tour of Norway?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/2018_Tour_of_Norway> <http://schema.org/endDate> ?endDate }"
"67","When was Aberbargoed Hospital founded?","SELECT ?date WHERE { <http://yago-knowledge.org/resource/Aberbargoed_Hospital> <http://schema.org/foundingDate> ?date }"
"68","Where is Aberbargoed Hospital located?","SELECT ?location WHERE { <http://yago-knowledge.org/resource/Aberbargoed_Hospital> <http://schema.org/location> ?location  }"
"69","Is Aberbargoed Hospital dissolved?","ASK WHERE { <http://yago-knowledge.org/resource/Aberbargoed_Hospital> <http://schema.org/dissolutionDate> ?object }"
"70","What is the geographical information of Aberbargoed Hospital?","SELECT ?geographicalInformation WHERE { <http://yago-knowledge.org/resource/Aberbargoed_Hospital> <http://schema.org/geo> ?geographicalInformation . }"
"71","What is an alternate name for Aberbeeg?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/Aberbeeg> <http://schema.org/alternateName> ?alternateName .}"
"72","Is Aberbeeg a geographical location?","ASK WHERE { <http://yago-knowledge.org/resource/Aberbeeg> <http://schema.org/geo> ?o }"
"73","Is Aberbeeg contained in a place?","ASK WHERE { <http://yago-knowledge.org/resource/Aberbeeg> <http://schema.org/containedInPlace> ?place }"
"74","When was Star Tours created?","SELECT ?date WHERE { <http://yago-knowledge.org/resource/Star_Tours> <http://schema.org/dateCreated> ?date . }"
"75","Who is the director of Star Tours?","SELECT ?director WHERE {
  <http://yago-knowledge.org/resource/Star_Tours> <http://schema.org/director> ?director .
}"
"76","Is Star Tours based on any source?","ASK WHERE { <http://yago-knowledge.org/resource/Star_Tours> <http://schema.org/isBasedOn> ?source . }"
"77","When was Star Tours published?","SELECT ?datePublished WHERE { <http://yago-knowledge.org/resource/Star_Tours> <http://schema.org/datePublished> ?datePublished . }"
"78","Who composed the music for Star Tours?","SELECT ?composer WHERE { <http://yago-knowledge.org/resource/Star_Tours> <http://schema.org/musicBy> ?composer .}"
"79","Is Abony a geographical entity?","ASK { <http://yago-knowledge.org/resource/Abony> <http://schema.org/geo> ?o }"
"80","Where is the location of Abony?","SELECT ?location ?point WHERE { <http://yago-knowledge.org/resource/Abony> <http://schema.org/location> ?location. OPTIONAL { ?location <http://www.w3.org/2003/01/geo/wgs84_pos#lat_long> ?point. }}"
"81","Is Abony contained within another place?","ASK {<http://yago-knowledge.org/resource/Abony> <http://schema.org/containedInPlace> ?object .}"
"82","What is the alternate name of 2019 European Youth Olympic Winter Festival?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/2019_European_Youth_Olympic_Winter_Festival> <http://schema.org/alternateName> ?alternateName}"
"83","When did 2019 European Youth Olympic Winter Festival start?","SELECT ?date WHERE { <http://yago-knowledge.org/resource/2019_European_Youth_Olympic_Winter_Festival> <http://schema.org/startDate> ?date }"
"84","Where did 2019 European Youth Olympic Winter Festival take place?","SELECT ?location WHERE { <http://yago-knowledge.org/resource/2019_European_Youth_Olympic_Winter_Festival> <http://schema.org/location> ?location }"
"85","When did 2019 European Youth Olympic Winter Festival end?","SELECT ?end_date 
	WHERE {
		<http://yago-knowledge.org/resource/2019_European_Youth_Olympic_Winter_Festival> <http://schema.org/endDate> ?end_date .
	}"
