"id","question","sparql"
"54","Is there any documented difference of the Old Mint from another known subject or entity?","ASK WHERE { ?entity <http://www.wikidata.org/prop/direct/P1889> <http://www.wikidata.org/entity/Q436023> . }"
"55","Does the Alte Oberfinanzdirektion Hamburg have a specific heritage designation?","ASK WHERE { <http://www.wikidata.org/entity/Q436055> <http://www.wikidata.org/prop/direct/P1435> ?heritageDesignation . }"
"56","What street address can the Alte Oberfinanzdirektion Hamburg be found at?","SELECT ?address WHERE { wd:Q436055 wdt:P6375 ?address . }"
"57","Is there an image associated with the Alte Oberfinanzdirektion Hamburg entity?","ASK WHERE { <http://www.wikidata.org/entity/Q436055> <http://www.wikidata.org/prop/direct/P18> ?image }"
"58","In which administrative territorial entity is the Alte Oberfinanzdirektion Hamburg located?","SELECT ?entity WHERE { wd:Q436055 wdt:P131 ?entity. }"
"59","What entity is Alte Post located within?","SELECT ?entity WHERE { <http://www.wikidata.org/entity/Q436110> <http://www.wikidata.org/prop/direct/P131> ?entity . }"
"60","Is Alte Post a designated heritage site?","ASK WHERE { wd:Q436110 wdt:P1435 ?designation . }"
"61","In which country can Alte Post be found?","SELECT ?country WHERE { wd:Q436110 wdt:P17 ?country . }"
"62","How many identifiers does Alte Post have mentioned in its details?","SELECT (COUNT(?identifier) AS ?count) WHERE { wd:Q436110 wdt:P2671 ?identifier . }"
"63","Is there a Google Knowledge Graph ID associated with Alte Post?","ASK { wd:Q436110 wdt:P2671 ?kgid. }"
"64","How many episodes does 'Disney Channel Games' have?","SELECT ?numberOfEpisodes WHERE { wd:Q119179 wdt:P1113 ?numberOfEpisodes . }"
"65","What language is 'Disney Channel Games' originally in?","SELECT ?language WHERE { 
  wd:Q119179 wdt:P364 ?language . 
}"
"66","When did 'Disney Channel Games' first start?","SELECT ?startDate WHERE { wd:Q119179 wdt:P580 ?startDate . } ORDER BY ASC(?startDate) LIMIT 1"
"67","Who was the developer of 'Disney Channel Games'?","SELECT ?developer WHERE { <http://www.wikidata.org/entity/Q119179> <http://www.wikidata.org/prop/direct/P178> ?developer . }"
"68","In which country is Woking F.C. based?","SELECT ?country WHERE { <http://www.wikidata.org/entity/Q18528> <http://www.wikidata.org/prop/direct/P17> ?country . }"
"69","Does Woking F.C. have an official website?","ASK WHERE { <http://www.wikidata.org/entity/Q18528> <http://www.wikidata.org/prop/direct/P856> ?website }"
"70","When was Woking F.C. founded or established?","SELECT ?date WHERE { <http://www.wikidata.org/entity/Q18528> <http://www.wikidata.org/prop/direct/P571> ?date . }"
"71","What is the home venue for Woking F.C.?","SELECT ?venue WHERE { wd:Q18528 wdt:P115 ?venue . }"
"72","Who is the head coach of Woking F.C.?","SELECT ?headCoach WHERE { wd:Q18528 wdt:P286 ?headCoach . }"
"73","Who founded the Burning Man?","SELECT ?founder WHERE { wd:Q152518 wdt:P112 ?founder . }"
"74","What type of entity is Burning Man considered?","SELECT ?entityType WHERE { <http://www.wikidata.org/entity/Q152518> <http://www.wikidata.org/prop/direct/P31> ?entityType. }"
"75","Is Burning Man associated with an official website?","ASK { <http://www.wikidata.org/entity/Q152518> <http://www.wikidata.org/prop/direct/P856> ?website }"
"76","When was Burning Man officially opened?","SELECT ?inception WHERE { <http://www.wikidata.org/entity/Q152518> <http://www.wikidata.org/prop/direct/P1619> ?inception . }"
"77","Does Burning Man have a logo image?","ASK { wd:Q152518 wdt:P18 ?image }"
"78","What is the country associated with the German Central Bone Marrow Donor Register?","SELECT ?country WHERE { wd:Q190430 wdt:P17 ?country . }"
"79","Where is the headquarters of the German Central Bone Marrow Donor Register located?","SELECT ?location WHERE { <http://www.wikidata.org/entity/Q190430> <http://www.wikidata.org/prop/direct/P159> ?location . }"
"80","Can you visit an official website for the German Central Bone Marrow Donor Register for more information?","SELECT ?officialWebsite WHERE { wd:Q190430 wdt:P856 ?officialWebsite . }"
"81","What was the inception date or year of the German Central Bone Marrow Donor Register?","SELECT ?inception WHERE { <http://www.wikidata.org/entity/Q190430> <http://www.wikidata.org/prop/direct/P571> ?inception . }"
"82","Is there a specific VIAF cluster ID linked to the German Central Bone Marrow Donor Register?","ASK WHERE { wd:Q190430 wdt:P214 ?viafId. }"
"83","What is the heritage designation of Alte Poststation Wimbern?","SELECT ?heritageDesignation WHERE { wd:Q436120 wdt:P1435 ?heritageDesignation . }"
"84","Is there a Commons category associated with Alte Poststation Wimbern?","ASK WHERE { wd:Q436120 wdt:P373 ?category . }"
"85","In which administrative territorial entity is Alte Poststation Wimbern located?","SELECT ?entity WHERE { <http://www.wikidata.org/entity/Q436120> <http://www.wikidata.org/prop/direct/P131> ?entity . }"
"86","Does Alte Poststation Wimbern have a coordinate location provided?","ASK WHERE { wd:Q436120 wdt:P625 ?coordinate_location. }"
"87","What kind of work is Soldier Boyz an instance of?","SELECT ?workType WHERE { wd:Q32217 wdt:P31 ?workType . }"
"88","Who is the director associated with Soldier Boyz?","SELECT ?person WHERE { wd:Q32217 wdt:P57 ?person. }"
"89","Does Soldier Boyz have a Rotten Tomatoes ID?","ASK WHERE { wd:Q32217 wdt:P1258 ?rtID . }"
"90","In what year was the movie Soldier Boyz published?","SELECT ?publicationYear WHERE { wd:Q32217 wdt:P577 ?publicationYear . }"
