"id","question","sparql"
"17","What is the nationality of Michael Manning?","SELECT ?nationality WHERE { <http://dbpedia.org/resource/Michael_Manning_(fetish_artist)> <http://dbpedia.org/property/nationality> ?nationality }"
"18","Can you provide a description of Michael Manning?","SELECT ?description WHERE { <http://dbpedia.org/resource/Michael_Manning_(fetish_artist)> <http://purl.org/dc/terms/description> ?description . }"
"19","What is the gender of Michael Manning?","SELECT ?gender WHERE { <http://dbpedia.org/resource/Michael_Manning_(fetish_artist)> <http://xmlns.com/foaf/0.1/gender> ?gender }"
"20","What is the homepage of Bloomberg Radio?","SELECT ?homepage WHERE { <http://dbpedia.org/resource/Bloomberg_Radio> <http://xmlns.com/foaf/0.1/homepage> ?homepage }"
"21","How many areas does Bloomberg Radio cover?","SELECT (COUNT(?area) AS ?count) WHERE {<http://dbpedia.org/resource/Bloomberg_Radio> <http://dbpedia.org/property/area> ?area .}"
"22","Does Bloomberg Radio have a specific format?","ASK WHERE { <http://dbpedia.org/resource/Bloomberg_Radio> <http://dbpedia.org/property/format> ?format . }"
"23","Is Bloomberg Radio known by any alias?","ASK WHERE { <http://dbpedia.org/resource/Bloomberg_Radio> <http://dbpedia.org/ontology/alias> ?alias }"
"24","Who is the licensee of Bloomberg Radio?","SELECT ?licensee WHERE { <http://dbpedia.org/resource/Bloomberg_Radio> <http://dbpedia.org/ontology/licensee> ?licensee }"
"25","What is the address of Chapin School?","SELECT ?address WHERE { <http://dbpedia.org/resource/Chapin_School> <http://dbpedia.org/ontology/address> ?address . }"
"26","What type is Chapin School?","SELECT ?type WHERE {
  				<http://dbpedia.org/resource/Chapin_School> <http://dbpedia.org/ontology/type> ?type
				}"
"27","In which city is Chapin School located?","SELECT ?city WHERE { <http://dbpedia.org/resource/Chapin_School> <http://dbpedia.org/ontology/city> ?city . }"
"28","When was Chapin School founded?","SELECT ?foundingYear WHERE { <http://dbpedia.org/resource/Chapin_School> <http://dbpedia.org/ontology/foundingYear> ?foundingYear }"
"29","What is the motto of Chapin School?","SELECT ?motto WHERE { <http://dbpedia.org/resource/Chapin_School> <http://dbpedia.org/ontology/motto> ?motto . }"
"30","What is the opening year of Abiko Station?","SELECT ?openingYear WHERE { <http://dbpedia.org/resource/Abiko_Station_(Chiba)> <http://dbpedia.org/ontology/openingYear> ?openingYear . }"
"31","How many passengers does Abiko Station have per year?","SELECT ?passengersPerYear WHERE { <http://dbpedia.org/resource/Abiko_Station_(Chiba)> <http://dbpedia.org/ontology/passengersPerYear> ?passengersPerYear }"
"32","In which country is Abiko Station located?","SELECT ?country WHERE { <http://dbpedia.org/resource/Abiko_Station_(Chiba)> <http://dbpedia.org/property/country> ?country . }"
"33","What is the address of Abiko Station?","SELECT ?address WHERE { <http://dbpedia.org/resource/Abiko_Station_(Chiba)> <http://dbpedia.org/ontology/address> ?address }"
"34","How many connections does Abiko Station have?","SELECT (COUNT(?connections) AS ?numConnections) WHERE { <http://dbpedia.org/resource/Abiko_Station_(Chiba)> <http://dbpedia.org/property/connections> ?connections }"
"35","Is Ala located in any province?","ASK WHERE { <http://dbpedia.org/resource/Ala,_Trentino> <http://dbpedia.org/ontology/province> ?province }"
"36","What is the area code for Ala?","SELECT ?areaCode WHERE { <http://dbpedia.org/resource/Ala,_Trentino> <http://dbpedia.org/ontology/areaCode> ?areaCode }"
"37","Does Ala have a postal code?","ASK WHERE { <http://dbpedia.org/resource/Ala,_Trentino> <http://dbpedia.org/ontology/postalCode> ?o }"
"38","In which country is Ala located?","SELECT ?country WHERE { <http://dbpedia.org/resource/Ala,_Trentino> <http://dbpedia.org/ontology/country> ?country .}"
"39","What is the homepage of Bussy-Chardonney?","SELECT ?homepage WHERE { <http://dbpedia.org/resource/Bussy-Chardonney> <http://xmlns.com/foaf/0.1/homepage> ?homepage .}"
"40","How many places are associated with Bussy-Chardonney?","SELECT (COUNT(?place) AS ?count) WHERE { <http://dbpedia.org/resource/Bussy-Chardonney> <http://dbpedia.org/property/places>  ?place . }"
"41","Is Bussy-Chardonney a twin town?","ASK {<http://dbpedia.org/resource/Bussy-Chardonney> <http://dbpedia.org/ontology/twinTown> ?twinTown .}"
"42","What is the total area of Bussy-Chardonney?","SELECT ?area WHERE { <http://dbpedia.org/resource/Bussy-Chardonney> <http://dbpedia.org/ontology/areaTotal> ?area . }"
"43","What type is Cascades?","SELECT ?type
WHERE {
  <http://dbpedia.org/resource/Cascades,_Tasmania> <http://dbpedia.org/property/type> ?type
}"
"44","Which state is Cascades located in?","SELECT ?state WHERE { <http://dbpedia.org/resource/Cascades,_Tasmania> <http://dbpedia.org/property/state> ?state . }"
"45","Is Cascades a city?","ASK WHERE { <http://dbpedia.org/resource/Cascades,_Tasmania> <http://dbpedia.org/property/city> ?city }"
"46","What is the postcode of Cascades?","SELECT ?postcode WHERE { <http://dbpedia.org/resource/Cascades,_Tasmania> <http://dbpedia.org/property/postcode> ?postcode . }"
"47","Is Cascades located near North East?","ASK WHERE { <http://dbpedia.org/resource/Cascades,_Tasmania> <http://dbpedia.org/property/nearN> ?nearN . }"
"48","Who are the inkers of Batman: The Dark Knight?","SELECT ?inkerName WHERE { <http://dbpedia.org/resource/Batman:_The_Dark_Knight> <http://dbpedia.org/property/inkers> ?inkerName . }"
"49","How many editors worked on Batman: The Dark Knight?","SELECT (COUNT(?editor) AS ?numEditors) WHERE { <http://dbpedia.org/resource/Batman:_The_Dark_Knight> <http://dbpedia.org/property/editors> ?editor }"
"50","Is Batman: The Dark Knight an ongoing series?","ASK WHERE { <http://dbpedia.org/resource/Batman:_The_Dark_Knight> <http://dbpedia.org/property/ongoing> ?ongoing }"
"51","What is the schedule of Batman: The Dark Knight?","SELECT ?schedule WHERE { <http://dbpedia.org/resource/Batman:_The_Dark_Knight> <http://dbpedia.org/property/schedule> ?schedule }"
"52","Who is the writer of Batman: The Dark Knight?","SELECT ?writer WHERE { <http://dbpedia.org/resource/Batman:_The_Dark_Knight> <http://dbpedia.org/ontology/writer> ?writer }"
"53","What is the founding date of Naval Academy?","SELECT ?date WHERE { <http://dbpedia.org/resource/Italian_Naval_Academy>  <http://dbpedia.org/ontology/foundingDate> ?date }"
"54","Can you provide the latitude of Naval Academy?","SELECT ?latitude WHERE { <http://dbpedia.org/resource/Italian_Naval_Academy> <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?latitude }"
"55","Who is the officer in charge of Naval Academy?","SELECT ?officer WHERE { <http://dbpedia.org/resource/Italian_Naval_Academy>  <http://dbpedia.org/ontology/officerInCharge> ?officer . }"
"56","Does Naval Academy have a homepage?","ASK {<http://dbpedia.org/resource/Italian_Naval_Academy> <http://xmlns.com/foaf/0.1/homepage> ?o}"
"57","In which region is Naval Academy located?","SELECT ?region WHERE { <http://dbpedia.org/resource/Italian_Naval_Academy> <http://dbpedia.org/property/location> ?region . }"
"58","What is the nationality of Billy McNeill?","SELECT ?nationality WHERE { <http://dbpedia.org/resource/Lisbon_Lions> <http://dbpedia.org/property/nat> ?nationality }"
"59","How many current members does Billy McNeill have on the squad?","SELECT (COUNT(?player) as ?numPlayers) WHERE { <http://dbpedia.org/resource/Lisbon_Lions> <http://dbpedia.org/ontology/currentMember> ?player }"
"60","In what position does Billy McNeill play?","SELECT ?position WHERE { <http://dbpedia.org/resource/Lisbon_Lions> <http://dbpedia.org/property/pos> ?position . }"
"61","Can Billy McNeill play as a left winger?","ASK WHERE { <http://dbpedia.org/resource/Lisbon_Lions> <http://dbpedia.org/property/lw> _:var . }"
"62","When was the squad number assigned to Billy McNeill?","SELECT ?date
WHERE {
  <http://dbpedia.org/resource/Lisbon_Lions> <http://dbpedia.org/ontology/squadNumber> ?date
}"
"63","What is the scientific classification of Eastern garter snake?","SELECT ?class WHERE { <http://dbpedia.org/resource/Eastern_garter_snake> <http://dbpedia.org/ontology/genus> ?class }"
"64","How many subspecies does Eastern garter snake have?","SELECT (COUNT(?subspecies) as ?count) WHERE { <http://dbpedia.org/resource/Eastern_garter_snake> <http://dbpedia.org/property/subspecies> ?subspecies . }"
"65","Is there any conservation status information available for Eastern garter snake?","ASK WHERE { <http://dbpedia.org/resource/Eastern_garter_snake> <http://dbpedia.org/ontology/conservationStatus> ?conservationStatus}"
"66","To which kingdom does Eastern garter snake belong?","SELECT ?kingdom WHERE { <http://dbpedia.org/resource/Eastern_garter_snake> <http://dbpedia.org/ontology/kingdom> ?kingdom . }"
"67","What is the order of Eastern garter snake in the animal kingdom?","SELECT ?order WHERE { <http://dbpedia.org/resource/Eastern_garter_snake> <http://dbpedia.org/ontology/order> ?order. }"
"68","Is Brown mastiff bat the kingdom sorted Animalia?","ASK
WHERE {
  <http://dbpedia.org/resource/Brown_mastiff_bat> <http://dbpedia.org/ontology/kingdom> ?kingdom.
  FILTER(?kingdom = <http://dbpedia.org/resource/Animalia>)
}"
"69","What is the binomial of Brown mastiff bat?","SELECT ?binomial WHERE { <http://dbpedia.org/resource/Brown_mastiff_bat> <http://dbpedia.org/property/binomial> ?binomial . }"
"70","How many species does Brown mastiff bat belong to?","SELECT (COUNT(?species) AS ?count) WHERE { <http://dbpedia.org/resource/Brown_mastiff_bat> <http://dbpedia.org/property/species> ?species. }"
"71","What is the class of Brown mastiff bat?","SELECT ?class WHERE { <http://dbpedia.org/resource/Brown_mastiff_bat> <http://dbpedia.org/ontology/class> ?class .}"
"72","Does Brown mastiff bat have a conservation status?","ASK WHERE { <http://dbpedia.org/resource/Brown_mastiff_bat> <http://dbpedia.org/ontology/conservationStatus> ?status .}"
"73","What is the gender of Ron Newman (footballer)?","SELECT ?gender WHERE { <http://dbpedia.org/resource/Ron_Newman_(footballer)> <http://xmlns.com/foaf/0.1/gender> ?gender }"
"74","When was Ron Newman (footballer) born?","SELECT ?birthDate WHERE { <http://dbpedia.org/resource/Ron_Newman_(footballer)> <http://dbpedia.org/ontology/birthDate> ?birthDate .}"
"75","Where was Ron Newman (footballer) born?","SELECT ?birthPlace WHERE { <http://dbpedia.org/resource/Ron_Newman_(footballer)> <http://dbpedia.org/ontology/birthPlace> ?birthPlace }"
"76","What is the surname of Ron Newman (footballer)?","SELECT ?surname WHERE { <http://dbpedia.org/resource/Ron_Newman_(footballer)> <http://xmlns.com/foaf/0.1/surname> ?surname }"
"77","What is the given name of Ron Newman (footballer)?","SELECT ?givenName WHERE { <http://dbpedia.org/resource/Ron_Newman_(footballer)> <http://xmlns.com/foaf/0.1/givenName> ?givenName . }"
"78","What is the species of Diamond (comics)?","SELECT ?species WHERE { <http://dbpedia.org/resource/Diamond_(comics)> <http://dbpedia.org/property/species> ?species . }"
"79","Who are the creators of Diamond (comics)?","SELECT ?creator WHERE { <http://dbpedia.org/resource/Diamond_(comics)> <http://dbpedia.org/property/creators> ?creator . }"
"80","Is Diamond (comics) a hero?","ASK { <http://dbpedia.org/resource/Diamond_(comics)> <http://dbpedia.org/property/hero> ?object . }"
"81","When did Diamond (comics) debut?","SELECT ?debut_date WHERE { <http://dbpedia.org/resource/Diamond_(comics)> <http://dbpedia.org/property/debut> ?debut_date . }"
"82","Who is the publisher of Diamond (comics)?","SELECT ?publisher WHERE { <http://dbpedia.org/resource/Diamond_(comics)> <http://dbpedia.org/property/publisher> ?publisher . }"
"83","What is the map size of Chao District?","SELECT ?mapsize WHERE { <http://dbpedia.org/resource/Chao_District> <http://dbpedia.org/property/mapsize> ?mapsize }"
"84","When was Chao District founded?","SELECT ?founding_date WHERE { <http://dbpedia.org/resource/Chao_District> <http://dbpedia.org/ontology/foundingDate> ?founding_date . }"
"85","How many people live in Chao District?","SELECT (SUM(?population) as ?totalPopulation) WHERE { <http://dbpedia.org/resource/Chao_District> <http://dbpedia.org/ontology/populationTotal> ?population }"
"86","What is the type of Chao District?","SELECT ?type WHERE { <http://dbpedia.org/resource/Chao_District> <http://dbpedia.org/ontology/type> ?type . }"
"87","What country is Chao District located in?","SELECT ?country WHERE { <http://dbpedia.org/resource/Chao_District> <http://dbpedia.org/ontology/country> ?country . }"
"88","Is Brian Robertson a current member?","ASK WHERE {<http://dbpedia.org/resource/Cincinnati_Kids> <http://dbpedia.org/ontology/currentMember> ?member}"
"89","How many squad numbers does Brian Robertson have?","SELECT (COUNT(?squadNumber) AS ?count) WHERE { <http://dbpedia.org/resource/Cincinnati_Kids> <http://dbpedia.org/ontology/squadNumber> ?squadNumber .}"
"90","What position does Brian Robertson play?","SELECT ?position WHERE { <http://dbpedia.org/resource/Cincinnati_Kids> <http://dbpedia.org/property/pos> ?position}"
"91","When was Granada District founded?","SELECT ?date WHERE { <http://dbpedia.org/resource/Granada_District> <http://dbpedia.org/ontology/foundingDate> ?date . }"
"92","Is Granada District a part of any larger entity?","ASK WHERE { <http://dbpedia.org/resource/Granada_District> <http://dbpedia.org/ontology/isPartOf> ?parentEntity }"
"93","What type of area is Granada District?","SELECT ?type WHERE { <http://dbpedia.org/resource/Granada_District> <http://dbpedia.org/ontology/type> ?type . }"
