"id","question","sparql"
"41","What is the discipline of Generative Adversarial Networks?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT ?b WHERE {?o dcterms:title ""Generative Adversarial Networks""^^xsd:string; <http://purl.org/spar/fabio/hasDiscipline> ?b}"
"42","Who is the publisher of DeepInf: Social Influence Prediction with Deep Learning?","PREFIX dcterms: <http://purl.org/dc/terms/> SELECT distinct ?b WHERE {<https://makg.org/entity/2809583854> dcterms:publisher ?b}"
"43","Name the researchers working at National University of Singapore?","SELECT distinct ?person WHERE { ?person <http://www.w3.org/ns/org#memberOf> <https://makg.org/entity/165932596>}"
"44","Name some famous works of Claudio Aroca Hernandez-Ros.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?o WHERE {?o dcterms:creator ?l. ?l foaf:name ""Claudio Aroca Hernández-Ros""^^xsd:string }"
"45","What is the homepage uri of Apple?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?b WHERE {?o foaf:name ""Apple Inc.""^^xsd:string; foaf:homepage ?b}"
"46","Give the uri to the homepage of Intel.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?h WHERE {?o foaf:name ""Intel""^^xsd:string; foaf:homepage ?h}"
"47","Babak Sarani is a member of which institutes?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?s WHERE {?o foaf:name ""Babak Sarani""^^xsd:string. ?o <http://www.w3.org/ns/org#memberOf> ?s }"
"48","GOTO rankings was accepted in which journal?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?s WHERE {?o <http://purl.org/dc/terms/title> ""GOTO Rankings Considered Helpful""^^xsd:string ;<https://makg.org/property/appearsInJournal> ?s }"
"49","When was FREQUENCY-DIVIDED SAWTOOTH WAVE GENERATING CIRCUIT created?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?t dcterms:title ""FREQUENCY-DIVIDED SAWTOOTH WAVE GENERATING CIRCUIT""^^xsd:string; dcterms:created ?c}"
"50","What is the publication journal of Gastrin-Releasing Peptide Receptor Antagonism Induces Protection from Lethal Sepsis?","PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?j WHERE { ?m dcterms:title ""Gastrin-Releasing Peptide Receptor Antagonism Induces Protection from Lethal Sepsis: Involvement of Toll-like Receptor 4 Signaling""^^<http://www.w3.org/2001/XMLSchema#string> ; magp:appearsInJournal ?j}"
"51","What discipline does research on Encoder Discriminator Networks for unsupervised Learning belong to?","SELECT distinct ?b WHERE {<https://makg.org/entity/2910217019> <http://purl.org/spar/fabio/hasDiscipline> ?b}"
"52","Name the publisher of Performance Evaluation of Machine Learning Based Channel Selection Algorithm Implemented on IoT Sensor Devices.","PREFIX dcterms: <http://purl.org/dc/terms/> SELECT distinct ?b  WHERE {<https://makg.org/entity/2994877978> dcterms:publisher ?b}"
"53","List the research workers associated with the University of British Columbia.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?person WHERE {?g foaf:name ""University of British Columbia""^^xsd:string. ?person <http://www.w3.org/ns/org#memberOf> ?g}"
"54","What are some of the research works created by Robert Hale?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?n WHERE { ?m foaf:name ""Robert Hale""^^xsd:string . ?n dcterms:creator ?m}"
"55","Show the number of citations of Monte Casino.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?c WHERE {?n foaf:name ""Monte Casino""^^xsd:string ; magp:citationCount ?c}"
"56","What is the uri to the homepage of Microsoft?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?s WHERE {?c foaf:name ""Microsoft""^^xsd:string ; foaf:homepage ?s}"
"57","How can I learn in details about Quality assurance through quality enhancement?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?t WHERE {?n dcterms:title ""Quality assurance through quality enhancement.""^^xsd:string; <http://purl.org/spar/fabio/hasURL> ?t}"
"58","Name people associated with Novosibirsk State University.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?h WHERE { ?o foaf:name ""Novosibirsk State University""^^xsd:string .?h  <http://www.w3.org/ns/org#memberOf> ?o}"
"59","Give more understanding on Occult thyroid carcinoma.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX magp: <https://makg.org/property/> SELECT distinct ?v WHERE {?t dcterms:title ""Occult thyroid carcinoma.""^^xsd:string ; <http://purl.org/spar/fabio/hasURL> ?v}"
"60","How can I fetch more information on National Economics University?","PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX magp: <https://makg.org/property/> SELECT distinct ?p WHERE{ ?g foaf:name ""National Economics University""^^xsd:string; foaf:homepage ?p}"
"61","What all key words uniquely identifies Distributed System Design?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""Distributed System Design""^^xsd:string ; <http://prismstandard.org/namespaces/basic/2.0/keyword> ?c }"
"62","What are the papers written by Lominadze Aa?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?paper WHERE { ?paper dcterms:creator ?c . ?c foaf:name ""Lominadze Aa""^^xsd:string}"
"63","Name all the commitee members of Brown University.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?m WHERE {?u foaf:name ""Brown University""^^xsd:string . ?m <http://www.w3.org/ns/org#memberOf> ?u}"
"64","What all research projects did Cayla work upon?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?w WHERE {?c foaf:name ""Cayla""^^xsd:string . ?w dcterms:creator ?c}"
"65","When were Deep Learning Neural Networks created?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?t dcterms:title ""Deep Learning Neural Networks""^^xsd:string ; dcterms:created ?c}"
"66","Name the publishers of Deep Learning Neural Networks.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?t dcterms:title ""Deep Learning Neural Networks""^^xsd:string ; dcterms:publisher ?c}"
"67","How many papers were published by Danny Bauer?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?x foaf:name ""Danny Bauer""^^xsd:string ; <https://makg.org/property/paperCount> ?c}"
"68","Give whereabouts of KATE.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?t dcterms:title ""KATE 2005 International Conference : celebration of 40th anniversary : LG-POSCO Building, Korea University, Seoul, South Korea June 24th-25th, 2005""^^xsd:string ; <http://purl.org/spar/fabio/hasURL> ?c}"
"69","Darrin Eide is the inventor of which research work?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?t foaf:name ""Darrin Eide""^^xsd:string . ?c dcterms:creator ?t}"
"70","List the citations of Distributed System Design.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""Distributed System Design""^^xsd:string . ?c <http://purl.org/spar/cito/cites> ?t}"
